PERMNO,start,ending
52695.0,1981-05-14,2023-12-29
52708.0,2005-10-04,2023-12-29
52919.0,1982-04-08,2008-12-31
52978.0,1984-09-13,2023-12-29
53065.0,1992-10-30,2023-12-29
53225.0,2007-12-31,2014-09-19
53613.0,1994-09-27,2023-12-29
53831.0,1977-03-31,2009-08-18
53866.0,2001-08-06,2015-07-08
54148.0,1984-04-12,2023-12-29
54181.0,1988-07-14,2010-07-14
54827.0,1999-12-01,2013-12-09
55976.0,1982-08-19,2023-12-29
56232.0,1994-09-27,2008-12-31
56274.0,1983-09-01,2023-12-29
56573.0,1986-02-13,2023-12-29
57568.0,1984-10-04,2023-12-29
57665.0,1988-11-03,2023-12-29
57809.0,2022-02-15,2023-12-29
57817.0,1986-08-07,2020-06-19
57904.0,1999-05-28,2023-12-29
58246.0,1998-01-30,2023-12-29
58318.0,2006-12-20,2008-11-05
58413.0,2016-02-01,2023-12-29
58683.0,1994-07-13,2023-12-29
58819.0,2016-07-01,2023-12-29
59010.0,1986-08-21,2022-02-02
59176.0,1976-07-01,2023-12-29
59184.0,1976-07-01,2008-11-18
59192.0,1976-07-01,2016-01-15
59248.0,1976-07-01,2023-12-29
59300.0,2016-03-07,2023-12-29
59328.0,1976-12-09,2023-12-29
59408.0,1976-07-01,2023-12-29
59440.0,1976-07-01,2008-09-22
59459.0,1976-07-01,2023-12-29
60097.0,1986-10-23,2023-12-29
60206.0,1982-09-16,2023-12-29
60442.0,1988-04-14,2023-12-29
60506.0,1980-10-02,2023-12-29
60599.0,1999-03-25,2023-03-17
60628.0,1980-11-06,2023-12-29
60871.0,1999-10-12,2023-12-29
60943.0,1999-10-18,2021-12-17
60986.0,1989-04-27,2023-09-15
61241.0,1984-06-21,2013-09-20
61241.0,2017-03-20,2023-12-29
61399.0,1984-03-01,2023-12-29
61516.0,2020-06-22,2023-12-29
61621.0,1998-10-01,2023-12-29
61735.0,1996-04-23,2023-12-29
61815.0,2007-10-08,2020-10-09
62092.0,1997-01-02,2023-12-29
62148.0,1980-11-06,2023-12-29
62308.0,1989-04-27,2023-12-29
62498.0,2020-05-22,2023-12-29
62519.0,2007-01-04,2009-12-22
63060.0,1982-03-04,2008-09-29
63467.0,2021-09-20,2023-12-29
63765.0,2008-06-06,2017-04-03
63830.0,2007-06-01,2016-01-29
64186.0,1982-04-08,2023-12-29
64282.0,1983-09-15,2023-12-29
64311.0,1982-06-03,2023-12-29
64390.0,1997-08-04,2023-12-29
64565.0,1997-06-18,2008-06-30
64653.0,2005-08-19,2023-12-29
64936.0,1983-05-20,2023-12-29
64995.0,1994-03-02,2023-12-29
65330.0,2006-04-24,2016-12-01
65402.0,2017-07-26,2023-12-29
65541.0,2016-09-23,2023-12-29
65875.0,1983-12-01,2023-12-29
65947.0,2009-01-30,2023-12-29
66093.0,1983-12-01,2023-12-29
66157.0,1995-10-23,2023-12-29
66181.0,1988-03-03,2023-12-29
66325.0,1998-07-01,2014-04-30
66384.0,2009-07-01,2023-12-29
66800.0,1980-02-14,2023-12-29
67467.0,1998-01-20,2013-02-13
67598.0,2008-03-31,2023-12-29
68144.0,1988-05-05,2019-12-06
68304.0,1998-07-01,2008-05-30
68591.0,1989-12-01,2017-01-04
68857.0,2010-12-20,2016-06-23
69032.0,1995-09-22,2023-12-29
69550.0,2004-04-23,2020-11-16
69649.0,2017-03-20,2023-12-29
69796.0,2005-07-05,2023-12-29
70033.0,2000-01-31,2020-06-19
