GVKEY,TICKER,DATADATE,FYEAR,CSHTR_C,CSHTR_F,PRCH_C,PRCL_C,PRCC_C,MKVALT,est_avg_price,calendar_avg,fiscal_avg,COMPANYID,ENDDATE
007171,MCK,2010-03-31,2009.0,722099829.0,641724415.0,64.98,33.13,62.5,17810.12,53.53666666666667,2865475.511904762,2546525.456349206,288195,
007171,MCK,2011-03-31,2010.0,625749549.0,613165412.0,71.486,57.23,70.38,19920.6,66.36533333333334,2483133.130952381,2433196.07936508,288195,
007171,MCK,2012-03-31,2011.0,511351239.0,501272418.0,87.32,66.61,77.91,20625.95,77.28,2029171.5833333333,1989176.261904762,288195,
007171,MCK,2013-03-31,2012.0,414923251.0,383968602.0,100.0,74.89,96.96,24506.92,90.61666666666666,1646520.8373015872,1523684.9285714286,288195,
007171,MCK,2014-03-31,2013.0,333967145.0,357661576.0,166.57,96.67,161.4,40787.67,141.54666666666665,1325266.4484126985,1419291.9682539685,288195,
007171,MCK,2015-03-31,2014.0,321855104.0,270631067.0,214.37,159.451,207.58,52478.4,193.80033333333336,1277202.7936507936,1073932.8055555555,288195,
007171,MCK,2016-03-31,2015.0,343161402.0,410897797.0,243.61,160.1001,197.23,35381.25,200.31336666666667,1361751.5952380951,1630546.8134920634,288195,
007171,MCK,2017-03-31,2016.0,493443001.0,483042746.0,199.43,114.53,140.45,31282.86,151.47,1958107.146825397,1916836.2936507936,288195,
007171,MCK,2018-03-31,2017.0,463930149.0,454176784.0,169.29,133.82,155.95,28455.74,153.02,1840992.6547619049,1802288.825396825,288195,
007171,MCK,2019-03-31,2018.0,426698438.0,413143669.0,178.86,106.11,110.47,22241.4,131.81333333333336,1693247.7698412698,1639459.003968254,288195,
007171,MCK,2020-03-31,2019.0,381151788.0,601881458.0,154.79,109.16,138.32,21912.12,134.09,1512507.0952380951,2388418.484126984,288195,
007171,MCK,2021-03-31,2020.0,557252621.0,305515745.0,187.67,112.6,173.92,30816.32,158.0633333333333,2211319.9246031744,1212364.0674603174,288195,
007171,MCK,2022-03-31,2021.0,255220606.0,266223717.0,251.04,169.34,248.57,44388.85,222.9833333333333,1012780.1825396824,1056443.3214285714,288195,
007171,MCK,2023-03-31,2022.0,276770305.0,262359534.0,401.78,237.61,375.12,48422.8,338.17,1098294.861111111,1041109.261904762,288195,
007186,MHS,2004-12-31,2004.0,363572300.0,363572300.0,41.9,29.4,41.6,11416.5376,37.63333333333333,1442747.2222222222,1442747.2222222222,1541811,
007186,MHS,2005-12-31,2005.0,567154100.0,567154100.0,57.95,40.55,55.8,16977.5964,51.43333333333334,2250611.507936508,2250611.507936508,1541811,
007186,MHS,2006-12-31,2006.0,571587100.0,571587100.0,64.13,47.08,53.44,15414.6611,54.883333333333326,2268202.777777778,2268202.777777778,1541811,
007186,MHS,2007-12-31,2007.0,586701621.0,586701621.0,103.34,52.52,101.4,27172.158,85.75333333333333,2328181.035714286,2328181.035714286,1541811,
007186,MHS,2008-12-31,2008.0,1046319248.0,1046319248.0,54.625,29.8,41.91,20675.2508,42.111666666666665,4152060.507936508,4152060.507936508,1541811,
007186,MHS,2009-12-31,2009.0,868201885.0,868201885.0,66.0,36.46,63.91,30324.8476,55.45666666666667,3445245.5753968256,3445245.5753968256,1541811,
007186,MHS,2010-12-31,2010.0,1074543810.0,1074543810.0,66.94,43.45,61.27,25153.6633,57.22,4264062.738095238,4264062.738095238,1541811,
007186,MHS,2011-12-31,2011.0,1029979400.0,1029979400.0,66.38,44.6,55.9,21659.1817,55.626666666666665,4087219.8412698414,4087219.8412698414,1541811,
007228,MDT,1999-04-30,1998.0,404518095.0,523901200.0,76.75,45.43699646,74.28125,42099.6954,65.48941548666666,1605230.5357142857,2078973.015873016,31348,
007228,MDT,2000-04-30,1999.0,1143757800.0,989693700.0,44.625,29.9375,36.4375,62205.4399,37.0,4538721.428571428,3927355.952380952,31348,
007228,MDT,2001-04-30,2000.0,884815200.0,871228500.0,62.0,32.75,60.375,53944.369,51.708333333333336,3511171.4285714286,3457255.9523809524,31348,
007228,MDT,2002-04-30,2001.0,1015072800.0,978148000.0,60.8125,36.64,51.21,54307.6902,49.55416666666667,4028066.6666666665,3881539.6825396814,31348,
007228,MDT,2003-04-30,2002.0,1012758700.0,1007962200.0,50.69,32.5,45.6,58153.4785,42.93,4018883.73015873,3999850.0,31348,
